USN,ME,CN,ADV-JAVA,DBMS,FLAT,CC,CN Lab,DBMS Lab
1AT14IS034,54,44,42,47,41,50,24,52
1AT14IS043,58,57,51,45,33,47,51,80
1AT14IS097,45,53,36,44,50,26,47,66
1AT14IS065,52,35,54,53,44,45,46,76
1AT14IS074,70,62,71,52,73,45,90,70
1AT14IS110,62,46,46,34,43,17,44,58
1AT15IS060,51,52,46,45,40,33,33,81
1AT15IS061,65,30,64,43,40,67,49,76
1AT15IS061,65,30,64,43,40,67,49,76
1AT15IS062,66,42,46,39,46,35,31,80
1AT15IS065,73,49,63,46,48,56,46,88
1AT15IS066,73,61,50,57,44,46,45,65
1AT15IS067,56,52,52,36,41,42,44,75
1AT15IS068,68,61,71,46,57,47,31,61
1AT15IS069,67,64,86,63,46,61,72,93
1AT15IS071,71,60,64,52,50,59,96,92
1AT15IS072,84,79,75,83,66,56,96,91
1AT15IS073,64,79,90,63,63,50,88,83
1AT15IS076,62,58,68,51,62,38,53,90
1AT15IS077,77,65,65,60,75,65,91,93
1AT15IS078,75,69,71,64,66,64,95,88
1AT15IS079,78,56,84,51,61,47,54,75
1AT15IS080,34,34,41,50,42,40,71,76
1AT15IS081,53,52,66,47,42,28,50,77
1AT15IS082,75,71,75,84,56,57,95,89
1AT15IS083,77,70,70,84,63,69,96,88
1AT15IS084,65,75,78,66,70,62,87,87
1AT15IS085,70,69,73,77,58,52,72,79
1AT15IS086,72,73,60,60,60,64,73,90
1AT15IS087,62,52,65,41,45,29,44,50
1AT15IS088,64,52,88,51,44,43,57,84
1AT15IS090,47,59,72,55,59,47,62,84
1AT15IS091,79,69,75,59,55,46,95,82
1AT15IS092,74,46,69,69,75,48,91,94
1AT15IS093,49,54,47,50,41,40,54,75
1AT15IS094,40,48,44,42,52,31,45,80
1AT15IS095,53,44,72,53,62,23,50,85
1AT15IS096,73,76,73,64,61,70,78,87
1AT15IS098,68,44,39,44,38,40,45,76
1AT15IS099,58,41,57,53,47,50,44,73
1AT15IS101,71,47,77,63,63,64,67,95
1AT15IS103,77,66,58,74,47,48,91,86
1AT15IS104,62,45,51,45,52,43,45,81
1AT15IS105,70,78,57,64,57,48,53,81
1AT15IS106,69,77,80,73,59,68,98,88
1AT15IS107,76,79,70,54,74,59,72,91
1AT15IS108,78,67,75,73,72,58,66,95
1AT15IS116,82,56,79,69,55,66,72,92
