USN,ME-total,CN-Total,Adv.JAVA-total,DBMS-total,FLAT-total,CC-total,CN Lab-total,DBMS Lab-total
RES14IS034,54,44,42,47,41,50,24,52
RES14IS043,58,57,51,45,33,47,51,80
RES14IS097,45,53,36,44,50,26,47,66
RES14IS065,52,35,54,53,44,45,46,76
RES14IS074,70,62,71,52,73,45,90,70
RES14IS110,62,46,46,34,43,17,44,58
RES15IS060,51,52,46,45,40,33,33,81
RES15IS061,65,30,64,43,40,67,49,76
RES15IS061,65,30,64,43,40,67,49,76
RES15IS062,66,42,46,39,46,35,31,80
RES15IS065,73,49,63,46,48,56,46,88
RES15IS066,73,61,50,57,44,46,45,65
RES15IS067,56,52,52,36,41,42,44,75
RES15IS068,68,61,71,46,57,47,31,61
RES15IS069,67,64,86,63,46,61,72,93
RES15IS071,71,60,64,52,50,59,96,92
RES15IS072,84,79,75,83,66,56,96,91
RES15IS073,64,79,90,63,63,50,88,83
RES15IS076,62,58,68,51,62,38,53,90
RES15IS077,77,65,65,60,75,65,91,93
RES15IS078,75,69,71,64,66,64,95,88
RES15IS079,78,56,84,51,61,47,54,75
RES15IS080,34,34,41,50,42,40,71,76
RES15IS081,53,52,66,47,42,28,50,77
RES15IS082,75,71,75,84,56,57,95,89
RES15IS083,77,70,70,84,63,69,96,88
RES15IS084,65,75,78,66,70,62,87,87
RES15IS085,70,69,73,77,58,52,72,79
RES15IS086,72,73,60,60,60,64,73,90
RES15IS087,62,52,65,41,45,29,44,50
RES15IS088,64,52,88,51,44,43,57,84
RES15IS090,47,59,72,55,59,47,62,84
RES15IS091,79,69,75,59,55,46,95,82
RES15IS092,74,46,69,69,75,48,91,94
RES15IS093,49,54,47,50,41,40,54,75
RES15IS094,40,48,44,42,52,31,45,80
RES15IS095,53,44,72,53,62,23,50,85
RES15IS096,73,76,73,64,61,70,78,87
RES15IS098,68,44,39,44,38,40,45,76
RES15IS099,58,41,57,53,47,50,44,73
RES15IS101,71,47,77,63,63,64,67,95
RES15IS103,77,66,58,74,47,48,91,86
RES15IS104,62,45,51,45,52,43,45,81
RES15IS105,70,78,57,64,57,48,53,81
RES15IS106,69,77,80,73,59,68,98,88
RES15IS107,76,79,70,54,74,59,72,91
RES15IS108,78,67,75,73,72,58,66,95
RES15IS116,82,56,79,69,55,66,72,92
